City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,Hilo,19.7297,-155.09,80.6,57,40,10.36,US,2021-04-02 23:04:07
103,Provideniya,64.3833,-173.3,11.32,88,100,14.83,RU,2021-04-02 23:04:33
104,Kapaa,22.0752,-159.319,75.99,88,90,8.05,US,2021-04-02 23:04:34
105,Atuona,-9.8,-139.0333,80.42,81,26,13.2,PF,2021-04-02 23:04:34
106,Robertsport,6.7533,-11.3686,80.06,88,65,7.81,LR,2021-04-02 23:04:34
107,Muros,42.7762,-9.0603,55.99,90,90,1.99,ES,2021-04-02 23:04:35
108,Busselton,-33.65,115.3333,63.0,83,100,1.99,AU,2021-04-02 23:04:26
109,Hermanus,-34.4187,19.2345,60.01,78,69,3.0,ZA,2021-04-02 23:04:24
110,Hermanus,-34.4187,19.2345,60.01,78,69,3.0,ZA,2021-04-02 23:04:24
111,Ushuaia,-54.8,-68.3,50.0,71,75,10.36,AR,2021-04-02 22:59:19
112,Batemans Bay,-35.7167,150.1833,70.0,74,0,4.61,AU,2021-04-02 23:04:35
113,Barrow,71.2906,-156.7887,-14.8,76,1,4.61,US,2021-04-02 23:00:02
114,Kahului,20.8947,-156.47,80.6,61,40,19.57,US,2021-04-02 23:02:04
115,Innisfail,-17.5333,146.0333,74.34,87,69,8.66,AU,2021-04-02 23:04:36
116,Verkhnevilyuysk,63.4453,120.3167,-13.67,96,55,6.17,RU,2021-04-02 23:04:36
117,Kapaa,22.0752,-159.319,75.99,88,90,8.05,US,2021-04-02 23:04:34
118,Thompson,55.7435,-97.8558,48.2,34,20,17.27,CA,2021-04-02 23:04:22
119,Lebu,-37.6167,-73.65,55.06,89,9,14.58,CL,2021-04-02 23:04:37
120,Busselton,-33.65,115.3333,63.0,83,100,1.99,AU,2021-04-02 23:04:26
121,Terrace,54.5163,-128.6035,37.4,93,90,6.91,CA,2021-04-02 23:04:19
122,Khatanga,71.9667,102.5,-33.29,99,9,4.61,RU,2021-04-02 23:04:37
123,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
124,Barrow,71.2906,-156.7887,-14.8,76,1,4.61,US,2021-04-02 23:00:02
125,Upernavik,72.7868,-56.1549,-15.66,98,100,7.78,GL,2021-04-02 23:04:38
126,Bluff,-46.6,168.3333,51.01,80,94,4.0,NZ,2021-04-02 23:04:15
127,Jamestown,42.097,-79.2353,34.0,43,1,10.36,US,2021-04-02 23:04:23
128,Sitka,57.0531,-135.33,37.4,87,90,10.36,US,2021-04-02 23:04:09
129,Port Hardy,50.6996,-127.4199,50.0,57,75,6.91,CA,2021-04-02 23:03:13
130,Saint-Louis,16.3333,-15.0,91.4,29,0,8.14,SN,2021-04-02 23:04:39
131,Namibe,-15.1961,12.1522,78.28,75,49,5.79,AO,2021-04-02 23:04:39
132,Cap Malheureux,-19.9842,57.6142,75.99,86,6,4.0,MU,2021-04-02 23:04:39
133,Naze,28.3667,129.4833,69.8,94,75,17.27,JP,2021-04-02 23:04:39
134,Punta Arenas,-53.15,-70.9167,46.4,87,75,5.75,CL,2021-04-02 23:04:11
135,San Patricio,28.017,-97.5169,71.6,46,40,18.41,US,2021-04-02 23:04:40
136,Jefferson City,38.5767,-92.1735,64.4,19,1,13.8,US,2021-04-02 23:01:43
137,Zhangye,38.9342,100.4517,41.94,36,100,1.16,CN,2021-04-02 23:04:40
138,Sambava,-14.2667,50.1667,75.25,88,63,10.83,MG,2021-04-02 23:04:41
139,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
140,Goderich,43.7501,-81.7165,32.0,43,9,6.91,CA,2021-04-02 23:04:41
141,Katsuura,35.1333,140.3,60.8,63,20,5.75,JP,2021-04-02 23:01:00
142,Ushuaia,-54.8,-68.3,50.0,71,75,10.36,AR,2021-04-02 22:59:19
143,Fortuna,40.5982,-124.1573,57.99,76,1,14.97,US,2021-04-02 23:04:42
144,Naron,43.5167,-8.1528,57.0,92,62,3.0,ES,2021-04-02 23:04:42
145,Jalingo,8.8833,11.3667,82.44,16,45,6.06,NG,2021-04-02 23:04:42
146,Taltal,-25.4,-70.4833,66.58,77,24,5.59,CL,2021-04-02 23:04:43
147,Nikolskoye,59.7035,30.7861,35.01,93,20,4.47,RU,2021-04-02 23:04:18
148,Maraba,-5.3686,-49.1178,80.6,100,20,1.45,BR,2021-04-02 23:04:43
149,Delijan,33.9905,50.6838,61.16,43,3,7.83,IR,2021-04-02 23:04:43
150,Juba,4.8517,31.5825,76.19,57,38,5.14,SS,2021-04-02 23:04:44
151,Yellowknife,62.456,-114.3525,8.01,72,90,6.91,CA,2021-04-02 23:04:44
152,Qaanaaq,77.484,-69.3632,-20.47,83,100,8.01,GL,2021-04-02 23:04:07
153,Ahipara,-35.1667,173.1667,69.46,63,30,8.28,NZ,2021-04-02 23:04:44
154,Bambous Virieux,-20.3428,57.7575,75.99,100,40,1.14,MU,2021-04-02 23:04:45
155,Wilmington,34.2257,-77.9447,48.99,27,1,13.8,US,2021-04-02 23:03:40
156,Kapaa,22.0752,-159.319,75.99,88,90,8.05,US,2021-04-02 23:04:34
157,Nantucket,41.2835,-70.0995,33.8,64,1,10.36,US,2021-04-02 23:04:45
158,Santa Rosa,14.3122,121.1114,81.0,69,20,5.75,PH,2021-04-02 23:04:46
159,San Giovanni In Fiore,39.2633,16.6996,48.2,100,0,3.44,IT,2021-04-02 23:04:46
160,Mackay,-21.15,149.2,73.99,83,75,16.11,AU,2021-04-02 23:04:46
161,Torbay,47.6666,-52.7314,39.2,93,75,8.05,CA,2021-04-02 23:03:19
162,Ushuaia,-54.8,-68.3,50.0,71,75,10.36,AR,2021-04-02 22:59:19
163,Porbandar,21.6422,69.6093,77.5,72,50,6.13,IN,2021-04-02 23:04:47
164,Lompoc,34.6391,-120.4579,66.99,63,20,12.66,US,2021-04-02 23:00:55
165,Avarua,-21.2078,-159.775,84.2,74,34,13.8,CK,2021-04-02 23:04:26
166,Abu Kamal,34.4506,40.9171,54.07,55,32,16.89,SY,2021-04-02 23:04:47
167,Rikitea,-23.1203,-134.9692,77.45,76,93,10.76,PF,2021-04-02 23:04:08
168,Port Alfred,-33.5906,26.891,60.96,83,24,10.65,ZA,2021-04-02 23:04:10
169,Aklavik,68.2191,-135.0107,-4.0,59,100,3.44,CA,2021-04-02 23:04:48
170,Berlevag,70.8578,29.0864,28.89,82,91,6.53,NO,2021-04-02 23:03:10
171,Kirakira,-10.4544,161.9205,85.21,67,88,5.93,SB,2021-04-02 23:04:48
172,Verkhnetulomskiy,68.6073,31.7962,26.6,93,40,1.52,RU,2021-04-02 23:04:48
173,Waipawa,-41.4122,175.5153,62.01,63,40,3.44,NZ,2021-04-02 23:04:49
174,Padang,-0.9492,100.3543,77.0,78,20,2.3,ID,2021-04-02 23:00:04
175,Georgetown,5.4112,100.3354,82.4,94,20,3.44,MY,2021-04-02 23:04:14
176,Saint George,37.1041,-113.5841,84.99,11,1,5.75,US,2021-04-02 23:01:01
177,Kachug,53.9606,105.8817,17.22,93,86,1.07,RU,2021-04-02 23:04:49
178,Port Elizabeth,-33.918,25.5701,59.0,82,20,6.91,ZA,2021-04-02 23:02:18
179,Saint-Philippe,-21.3585,55.7679,77.0,94,75,16.11,RE,2021-04-02 23:04:50
180,Salalah,17.0151,54.0924,75.2,73,0,4.61,OM,2021-04-02 23:04:50
181,Zelenoborsk,61.4669,64.0333,22.01,97,15,4.45,RU,2021-04-02 23:04:50
182,Richards Bay,-28.783,32.0377,73.47,87,93,19.64,ZA,2021-04-02 23:04:51
183,Lebu,-37.6167,-73.65,55.06,89,9,14.58,CL,2021-04-02 23:04:37
184,Nantucket,41.2835,-70.0995,33.8,64,1,10.36,US,2021-04-02 23:04:45
185,Mataura,-46.1927,168.8643,51.01,80,88,4.0,NZ,2021-04-02 23:04:15
186,Mersing,2.4312,103.8405,75.2,94,97,5.75,MY,2021-04-02 23:04:51
187,Cape Town,-33.9258,18.4232,64.0,72,0,4.61,ZA,2021-04-02 22:59:59
188,San Patricio,28.017,-97.5169,71.6,46,40,18.41,US,2021-04-02 23:04:40
189,Upernavik,72.7868,-56.1549,-15.66,98,100,7.78,GL,2021-04-02 23:04:38
190,Huilong,31.8111,121.655,61.0,93,89,11.63,CN,2021-04-02 23:04:52
191,Chokurdakh,70.6333,147.9167,-11.83,100,98,2.59,RU,2021-04-02 23:04:52
192,Codrington,-38.2667,141.9667,74.62,33,0,15.55,AU,2021-04-02 23:04:21
193,Kapaa,22.0752,-159.319,75.99,88,90,8.05,US,2021-04-02 23:04:34
194,Severo-Kurilsk,50.6789,156.125,30.99,79,29,14.12,RU,2021-04-02 23:04:53
195,Qaqortoq,60.7167,-46.0333,37.4,81,75,3.44,GL,2021-04-02 23:04:53
196,San Jose,37.3394,-121.895,77.0,49,40,12.66,US,2021-04-02 23:04:26
197,Kandrian,-6.2167,149.55,81.99,76,100,2.42,PG,2021-04-02 23:04:54
