,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Rawson,AR,-43.3,-65.1,79.18,35,5,15.12,clear sky
121,Gamba,GA,-2.65,10.0,79.14,81,97,5.21,overcast clouds
122,Atbasar,KZ,51.8,68.33,29.35,85,100,10.4,overcast clouds
123,Araouane,ML,18.9,-3.53,98.76,3,8,10.47,clear sky
124,Longyearbyen,SJ,78.22,15.64,19.4,68,40,11.5,scattered clouds
125,Salinópolis,BR,-0.61,-47.36,79.57,81,89,6.24,overcast clouds
126,Nizhnevartovsk,RU,60.93,76.55,35.6,100,90,6.71,light snow
127,Iqaluit,CA,63.75,-68.51,-2.0,60,20,2.3,few clouds
128,Punta Arenas,CL,-53.15,-70.92,46.4,66,75,26.46,broken clouds
129,Belyy Yar,RU,53.6,91.39,37.4,52,0,6.71,clear sky
130,Havelock,US,34.88,-76.9,54.0,30,1,14.97,clear sky
131,Kobryn,BY,52.21,24.36,40.21,57,95,5.99,overcast clouds
132,Praia da Vitória,PT,38.73,-27.07,60.8,94,75,22.91,broken clouds
133,Carutapera,BR,-1.2,-46.02,82.87,79,58,6.73,broken clouds
134,Marsciano,IT,42.91,12.34,57.0,62,75,12.66,broken clouds
135,Uruçuí,BR,-7.23,-44.56,86.47,63,51,3.76,broken clouds
136,Gornoye Loo,RU,43.71,39.6,50.0,81,90,6.71,light rain
137,Rabo de Peixe,PT,37.8,-25.58,60.8,88,75,20.71,broken clouds
138,Stornoway,GB,58.21,-6.39,46.99,76,75,11.5,broken clouds
139,Hithadhoo,MV,-0.6,73.08,83.75,73,61,16.58,broken clouds
140,Miraflores,CO,1.34,-71.95,84.27,70,97,2.17,overcast clouds
141,Leh,IN,34.17,77.58,27.01,31,0,3.47,clear sky
142,Meulaboh,ID,4.14,96.13,77.02,84,100,1.52,heavy intensity rain
143,Kulhudhuffushi,MV,6.62,73.07,83.77,67,16,12.01,few clouds
144,Mehamn,NO,71.04,27.85,32.68,77,100,22.08,light snow
145,Vasto,IT,42.12,14.71,50.0,98,98,7.0,heavy intensity rain
146,Millerovo,RU,48.92,40.4,46.26,87,100,12.41,overcast clouds
147,Athlone,IE,53.43,-7.95,57.99,66,8,5.01,clear sky
148,Tevriz,RU,57.51,72.4,29.55,94,36,6.44,scattered clouds
149,Kruisfontein,ZA,-34.0,24.73,66.99,72,23,1.99,few clouds
150,Tobatí,PY,-25.25,-57.07,87.8,40,0,3.44,clear sky
151,Plaster Rock,CA,46.91,-67.39,33.8,40,1,8.05,clear sky
152,Keetmanshoop,NA,-26.58,18.13,86.0,20,0,4.61,clear sky
153,Talnakh,RU,69.49,88.4,-11.74,78,0,7.2,clear sky
154,Klaksvík,FO,62.23,-6.59,44.6,87,96,39.12,overcast clouds
155,Georgetown,SH,-7.93,-14.42,79.72,74,92,19.24,overcast clouds
