City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
452,Geraldton,AU,75.2,overcast clouds,-28.77,114.6,Broadwater Mariner Resort
454,Mangla,PK,70.72,few clouds,31.89,72.38,Rana Tariq Aziz House
458,Dwārka,IN,81.05,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
461,Santa Fe,CU,78.8,scattered clouds,23.13,-82.26,Teresa y Fernando
463,Khuzdar,PK,78.08,clear sky,27.74,66.64,jhalwan Rent A Car Moola Chotok Boking Office
469,Doumé,CM,82.58,overcast clouds,4.23,13.45,Hotel Universel
472,Ugoofaaru,MV,83.64,few clouds,5.67,73.0,Ungoofaaru Inn
474,Aquiraz,BR,89.01,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
477,Boueni,YT,82.4,broken clouds,-12.9,45.08,Santal Logis
478,Nueve de Julio,AR,81.0,few clouds,-35.44,-60.88,Grand Hotel Libertad - GHL
481,Chimoré,BO,78.15,overcast clouds,-16.98,-65.13,Bichito
482,Hazaribagh,IN,74.89,clear sky,23.98,85.35,Capital O 46318 Sri Vinayak Deluxe
484,Makkah al Mukarramah,SA,77.22,clear sky,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
485,North Fort Myers,US,75.0,scattered clouds,26.67,-81.88,Best Western Fort Myers Waterfront
490,Bānsdīh,IN,79.74,clear sky,25.88,84.22,Appu alli
493,Mala,PE,75.25,broken clouds,-12.66,-76.63,Hotel Granda
494,Diu,IN,78.08,clear sky,20.71,70.98,Hotel Relax Inn
495,Aswān,EG,74.1,clear sky,24.09,32.91,Nuba Nile
499,Pizarro,CO,82.49,overcast clouds,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
500,The Valley,AI,86.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
501,Humberto de Campos,BR,88.9,scattered clouds,-2.6,-43.46,Pousada do Cabeça
504,Puerto Gaitán,CO,86.27,overcast clouds,4.31,-72.08,Brisas del Yucao
505,Kavaratti,IN,83.07,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
506,Kanye,BW,73.81,clear sky,-24.97,25.33,The Savanna Lodge
508,Mwadui,TZ,73.13,light rain,-3.55,33.6,Williamson Guest House
509,Bagadó,CO,82.06,overcast clouds,5.41,-76.42,Estacion De Policia Bagado
510,Francisco Beltrão,BR,81.93,clear sky,-26.08,-53.05,Cristal Palace Hotel
513,Benguela,AO,79.56,moderate rain,-12.58,13.41,Hotel Praia Morena
514,Sambava,MG,78.44,light rain,-14.27,50.17,Melrose
520,Cap Malheureux,MU,81.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
521,Monrovia,LR,89.6,haze,6.3,-10.8,Eco-Hotel Hall & Restaurant
527,Fougamou,GA,80.13,overcast clouds,-1.22,10.58,Résidence d'Hôtes Bapedy
534,Taltal,CL,70.05,scattered clouds,-25.4,-70.48,Residencial Karime
535,Ibrā’,OM,84.16,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
536,Cabedelo,BR,82.4,broken clouds,-6.98,-34.83,Hotel Pigalle
538,Puerto Nariño,CO,86.0,scattered clouds,-3.77,-70.38,Eware Refugio Amazonico
